taskId, min_lat, min_lon, max_lat, max_lon
787,16.7345079588,94.7224954283,16.7395079588,94.7274954283
786,16.8495079588,94.7174954283,16.8545079588,94.7224954283
784,16.8395079588,94.7174954283,16.8445079588,94.7224954283
782,16.8245079588,94.7174954283,16.8295079588,94.7224954283
780,16.8145079588,94.7174954283,16.8195079588,94.7224954283
778,16.8045079588,94.7174954283,16.8095079588,94.7224954283
774,16.7845079588,94.7174954283,16.7895079588,94.7224954283
773,16.7795079588,94.7174954283,16.7845079588,94.7224954283
770,16.8245079588,94.7824954283,16.8295079588,94.7874954283
767,16.8095079588,94.7824954283,16.8145079588,94.7874954283
765,16.7345079588,94.7174954283,16.7395079588,94.7224954283
763,16.8495079588,94.7124954283,16.8545079588,94.7174954283
762,16.8445079588,94.7124954283,16.8495079588,94.7174954283
760,16.8345079588,94.7124954283,16.8395079588,94.7174954283
759,16.8295079588,94.7124954283,16.8345079588,94.7174954283
758,16.8245079588,94.7124954283,16.8295079588,94.7174954283
757,16.8195079588,94.7124954283,16.8245079588,94.7174954283
755,16.8095079588,94.7124954283,16.8145079588,94.7174954283
751,16.7895079588,94.7124954283,16.7945079588,94.7174954283
750,16.7845079588,94.7124954283,16.7895079588,94.7174954283
748,16.7745079588,94.7124954283,16.7795079588,94.7174954283
747,16.8295079588,94.7774954283,16.8345079588,94.7824954283
744,16.8145079588,94.7774954283,16.8195079588,94.7824954283
743,16.8095079588,94.7774954283,16.8145079588,94.7824954283
742,16.7395079588,94.7124954283,16.7445079588,94.7174954283
741,16.7345079588,94.7124954283,16.7395079588,94.7174954283
739,16.7895079588,94.7774954283,16.7945079588,94.7824954283
738,16.8495079588,94.7074954283,16.8545079588,94.7124954283
737,16.8445079588,94.7074954283,16.8495079588,94.7124954283
736,16.8395079588,94.7074954283,16.8445079588,94.7124954283
734,16.8295079588,94.7074954283,16.8345079588,94.7124954283
733,16.8245079588,94.7074954283,16.8295079588,94.7124954283
732,16.8195079588,94.7074954283,16.8245079588,94.7124954283
727,16.7845079588,94.7074954283,16.7895079588,94.7124954283
726,16.7795079588,94.7074954283,16.7845079588,94.7124954283
725,16.7745079588,94.7074954283,16.7795079588,94.7124954283
724,16.7695079588,94.7074954283,16.7745079588,94.7124954283
721,16.7595079588,94.7074954283,16.7645079588,94.7124954283
718,16.8195079588,94.7724954283,16.8245079588,94.7774954283
717,16.7495079588,94.7074954283,16.7545079588,94.7124954283
716,16.8145079588,94.7724954283,16.8195079588,94.7774954283
714,16.8095079588,94.7724954283,16.8145079588,94.7774954283
712,16.7345079588,94.7074954283,16.7395079588,94.7124954283
711,16.7895079588,94.7724954283,16.7945079588,94.7774954283
710,16.7845079588,94.7724954283,16.7895079588,94.7774954283
709,16.8495079588,94.7024954283,16.8545079588,94.7074954283
708,16.8445079588,94.7024954283,16.8495079588,94.7074954283
707,16.8395079588,94.7024954283,16.8445079588,94.7074954283
706,16.8345079588,94.7024954283,16.8395079588,94.7074954283
705,16.8295079588,94.7024954283,16.8345079588,94.7074954283
703,16.8195079588,94.7024954283,16.8245079588,94.7074954283
702,16.8145079588,94.7024954283,16.8195079588,94.7074954283
701,16.8795079588,94.7674954283,16.8845079588,94.7724954283
699,16.8745079588,94.7674954283,16.8795079588,94.7724954283
698,16.8045079588,94.7024954283,16.8095079588,94.7074954283
697,16.8695079588,94.7674954283,16.8745079588,94.7724954283
696,16.7995079588,94.7024954283,16.8045079588,94.7074954283
695,16.8645079588,94.7674954283,16.8695079588,94.7724954283
694,16.8595079588,94.7674954283,16.8645079588,94.7724954283
692,16.7795079588,94.7024954283,16.7845079588,94.7074954283
691,16.8445079588,94.7674954283,16.8495079588,94.7724954283
689,16.8395079588,94.7674954283,16.8445079588,94.7724954283
688,16.7695079588,94.7024954283,16.7745079588,94.7074954283
687,16.8345079588,94.7674954283,16.8395079588,94.7724954283
